product_id,category_id,product_name,manufacturer,part_number,product_type,description,technical_specs,is_active,created_at
1,3,Engine Ignition Lead 001,Demo Aero Components 2,DEMO-PART-00001,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 524, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Electrical"", ""source_part_id"": ""P00001"", ""source_shelf_life_days"": 735, ""source_supplier_id"": ""SUP004"", ""source_unit_cost"": ""2323.45""}",true,2026-09-01 00:00:00
2,2,Cabin Control Panel 002,Demo Aero Components 3,DEMO-PART-00002,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Cabin"", ""source_part_id"": ""P00002"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP028"", ""source_unit_cost"": ""670.84""}",true,2026-09-01 00:00:00
3,1,Navigation Interface 003,Demo Aero Components 4,DEMO-PART-00003,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Avionics"", ""source_part_id"": ""P00003"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP040"", ""source_unit_cost"": ""219.44""}",true,2026-09-01 00:00:00
4,3,Engine Starter Relay 004,Demo Aero Components 5,DEMO-PART-00004,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 528, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Electrical"", ""source_part_id"": ""P00004"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP034"", ""source_unit_cost"": ""12488.80""}",true,2026-09-01 00:00:00
5,2,Cabin Air Filter 005,Demo Aero Components 1,DEMO-PART-00005,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Cabin"", ""source_part_id"": ""P00005"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP024"", ""source_unit_cost"": ""1319.96""}",true,2026-09-01 00:00:00
6,2,Cabin Control Panel 006,Demo Aero Components 2,DEMO-PART-00006,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Cabin"", ""source_part_id"": ""P00006"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP002"", ""source_unit_cost"": ""665.36""}",true,2026-09-01 00:00:00
7,5,Engine Mount Bolt Kit 007,Demo Aero Components 3,DEMO-PART-00007,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 542, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00007"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP040"", ""source_unit_cost"": ""2665.22""}",true,2026-09-01 00:00:00
8,1,Communication Control Unit 008,Demo Aero Components 4,DEMO-PART-00008,MODULE,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Avionics"", ""source_part_id"": ""P00008"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP018"", ""source_unit_cost"": ""289.66""}",true,2026-09-01 00:00:00
9,8,Access Panel 009,Demo Aero Components 5,DEMO-PART-00009,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Structure"", ""source_part_id"": ""P00009"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP012"", ""source_unit_cost"": ""3012.47""}",true,2026-09-01 00:00:00
10,3,Engine Starter Relay 010,Demo Aero Components 1,DEMO-PART-00010,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 550, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Electrical"", ""source_part_id"": ""P00010"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP036"", ""source_unit_cost"": ""1488.91""}",true,2026-09-01 00:00:00
